display_order	gene	display_label	gene_present	n_tree_cells	pct_above_floor	mean_log1p_cp10k	max_log1p_cp10k
1	HES1	HES1	TRUE	8371	0.128180623581412	0.251774042562075	3.92867952500746
2	NKX2-1	NKX2-1	TRUE	8371	0.628479273682953	1.34486280693488	4.27247869592138
3	LHX6	LHX6	TRUE	8371	0.287181937641859	0.637179520390482	4.44887717355647
4	LHX8	LHX8	TRUE	8371	0.229721658105364	0.535005221809639	3.92498726447127
5	CRABP1	CRABP1	TRUE	8371	0.297216581053638	0.776168988551327	5.19298381924285
6	KCNC1	KCNC1	TRUE	8371	0.137737426830725	0.276570564996141	3.35159421491937
7	PLXNA2	PLXNA2	TRUE	8371	0.37343208696691	0.769594021565892	3.93182563272433
8	NRP1	NRP1	TRUE	8371	0.192927965595508	0.389886794002213	3.74128838109599
9	NRP2	NRP2	TRUE	8371	0.350137379046709	0.721798035380433	4.15016150775918
10	ROBO1	ROBO1	TRUE	8371	0.378329948632183	0.757750523290768	3.7038656085508
11	ERBB4	ERBB4	TRUE	8371	0.403536017202246	1.05836463133977	4.48601964962886
12	CXCR4	CXCR4	TRUE	8371	0.382391590013141	0.885254287557176	4.32921630367754
13	ACKR3	CXCR7 (ACKR3)	TRUE	8371	0.141201768008601	0.290292028565293	4.14422881840439
14	SEMA3A	SEMA3A	TRUE	8371	0.0725122446541632	0.151322323002304	3.2138972765519
15	SEMA3F	SEMA3F	TRUE	8371	0.0494564568151953	0.111349294640111	2.9837470406707
