DIV	run_sample_id	biological_label	source_raw_feature_bc_matrix	destination_raw_feature_bc_matrix	per_sample_metrics_csv
DIV30	9853-MW-1	H9_rep1	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV30/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/per_sample_outs/9853-MW-1/metrics_summary.csv
DIV30	9853-MW-2	H9_rep2	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV30/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/per_sample_outs/9853-MW-2/metrics_summary.csv
DIV30	9853-MW-3	79B_rep1	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV30/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/per_sample_outs/9853-MW-3/metrics_summary.csv
DIV30	9853-MW-4	79B_rep2	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV30/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/per_sample_outs/9853-MW-4/metrics_summary.csv
DIV30	9853-MW-5	2E_rep1	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV30/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/per_sample_outs/9853-MW-5/metrics_summary.csv
DIV30	9853-MW-6	2E_rep2	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV30/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/per_sample_outs/9853-MW-6/metrics_summary.csv
DIV30	9853-MW-7	79B_old_rep1	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV30/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/per_sample_outs/9853-MW-7/metrics_summary.csv
DIV30	9853-MW-8	79B_old_rep2	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV30/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/per_sample_outs/9853-MW-8/metrics_summary.csv
DIV30	9853-MW-9	79B_old_rep3	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV30/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/9583-MW-reanalysis/outs/per_sample_outs/9853-MW-9/metrics_summary.csv
DIV90	10496-MW-1	H9_rep1	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV90/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/per_sample_outs/10496-MW-1/metrics_summary.csv
DIV90	10496-MW-2	H9_rep2	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV90/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/per_sample_outs/10496-MW-2/metrics_summary.csv
DIV90	10496-MW-3	79B_rep1	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV90/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/per_sample_outs/10496-MW-3/metrics_summary.csv
DIV90	10496-MW-4	79B_rep2	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV90/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/per_sample_outs/10496-MW-4/metrics_summary.csv
DIV90	10496-MW-5	2E_rep1	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV90/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/per_sample_outs/10496-MW-5/metrics_summary.csv
DIV90	10496-MW-6	2E_rep2	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/multi/count/raw_feature_bc_matrix	/nfs/turbo/umms-parent/mgeo_neuron_scrnaseq_projectfolder/data/raw/DIV90/raw_feature_bc_matrix	/nfs/turbo/umms-parent/Manny_test/10496-MW-reanalysis/outs/per_sample_outs/10496-MW-6/metrics_summary.csv
