paper	dataset	accession	sample	age	region	genotype	technology	resource_type	filename	format	url	size_if_known	download_priority	downloaded	reason	notes
LaManno2021	Developing mouse nervous system	DOI:10.1038/s41586-021-03775-x	all cells	multiple	mouse nervous system	WT/reference atlas	10x scRNA-seq	publication		HTML	https://doi.org/10.1038/s41586-021-03775-x		P1	no	Publication and methods provenance	Do not treat the publication page as a cell-level data object.
LaManno2021	Developing mouse nervous system	GitHub:linnarsson-lab/development-mouse	all cells	multiple	mouse nervous system	WT/reference atlas	analysis repository	author_code	development-mouse	Git repository	https://github.com/linnarsson-lab/development-mouse		P1	no	Author code and links to processed objects	Clone only if small code inspection is needed; do not run the full author pipeline during the checkpoint.
LaManno2021	Developing mouse nervous system	GitHub:linnarsson-lab/development-mouse	published author sample registry	multiple	mouse nervous system	WT/reference atlas	10x scRNA-seq	author_sample_registry	pooling_specification.tab	TSV	https://raw.githubusercontent.com/linnarsson-lab/development-mouse/master/pooling_specification.tab		P1	no	Author sample IDs and pooling/design metadata	Small metadata-only input; preserve every submitted field and do not infer missing attributes.
LaManno2021	Developing mouse nervous system	PRJNA637987	all cells	multiple	mouse nervous system	WT/reference atlas	scRNA-seq	raw_sequencing		SRA/BioProject	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA637987		RAW	no	Verify later raw reproducibility	Raw access only; never download FASTQ/SRA during this audit.
LaManno2021	Developing mouse nervous system	processed_author_object	all cells	multiple	mouse nervous system	WT/reference atlas	10x scRNA-seq	processed_cell_object	developing_mouse_nervous_system.h5ad	H5AD	https://www.dropbox.com/scl/fi/taxtkhr3fezv6qoe86vcb/developing_mouse_nervous_system.h5ad?rlkey=fnphj9kokc2mstzudx3cmze6n&st=u7sawgjl&dl=1	31053 genes x 292495 cells	P0	no	Minimal cell-level object advertised by the author repository	Inspect backed; do not recompute UMAP or normalize during checkpoint.
LaManno2021	Developing mouse nervous system	processed_author_object	798 aggregate clusters	multiple	mouse nervous system	WT/reference atlas	aggregated expression	processed_cluster_object	dev_all.agg.loom	LOOM	https://www.dropbox.com/scl/fi/67mu8p6sxqymui39ltz54/dev_all.agg.loom?rlkey=64invw7it2hqe578k1jidpztt&st=rp3jocip&dl=1	31053 genes x 798 clusters	P1	no	Potential small hierarchy and aggregate-expression support	Do not download until the cell-level object schema has been inspected.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	DOI:10.1038/s41586-021-04237-0	CA301	E15	MGE	WT	10x scRNA-seq	publication		HTML	https://doi.org/10.1038/s41586-021-04237-0		P1	no	Publication and methods provenance	Use supplements only to document published structure, not to invent per-cell labels.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	GSE188528	CA301 / GSM5684876	E15	MGE	WT	10x scRNA-seq	processed_cell_object	GSM5684876_CA301_filtered_RNA_counts.RDS.gz	RDS.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5684nnn/GSM5684876/suppl/GSM5684876_CA301_filtered_RNA_counts.RDS.gz	21.4 MB	P0	no	Age- and anatomy-matched processed object	Must inspect with readRDS; the extension does not establish that this is Seurat.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	GSE188528	CA302 / GSM5684875	E15	CGE	WT	10x scRNA-seq	processed_cell_object_e15_comparator	GSM5684875_CA302_filtered_RNA_counts.RDS.gz	RDS.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5684nnn/GSM5684875/suppl/GSM5684875_CA302_filtered_RNA_counts.RDS.gz	15019987 bytes	P1	yes	Resolve the public later-atlas E15 sample/barcode mixture	Deposited 2,948-cell count matrix; 2,937 barcodes are retained in the later atlas.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	GSE188528	CA303 / GSM5684874	E15	LGE	WT	10x scRNA-seq	processed_cell_object_e15_comparator	GSM5684874_CA303_filtered_RNA_counts.RDS.gz	RDS.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5684nnn/GSM5684874/suppl/GSM5684874_CA303_filtered_RNA_counts.RDS.gz	14599245 bytes	P1	yes	Resolve the public later-atlas E15 sample/barcode mixture	Deposited 2,763-cell count matrix; only 2 barcodes are retained in the later inhibitory/excitatory atlas.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	GSE188528	all deposited samples	multiple	multiple brain regions	multiple	10x scRNA-seq	geo_series_metadata	GSE188528_family.soft.gz	SOFT.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE188nnn/GSE188528/soft/GSE188528_family.soft.gz		P1	no	GEO sample and raw-access metadata	Small metadata candidate for the post-checkpoint annotation-linkage audit.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	GitHub:mayer-lab/Bandler-et-al_lineage	all deposited samples	multiple	multiple brain regions	multiple	analysis repository	author_code	Bandler-et-al_lineage	Git repository	https://github.com/mayer-lab/Bandler-et-al_lineage		P1	no	Search for barcode-to-published-annotation reconstruction path	Do not rerun the full study during checkpoint.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	GSE188528	CA301 and associated samples	multiple	multiple brain regions	multiple	scRNA-seq	raw_sequencing		GEO/SRA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188528		RAW	no	Verify associated SRA/BioProject accessions	Raw access only; never download FASTQ/SRA during this audit.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	Git commit a8fa139a5ed6d8832b07b61f384982d630893c93	65,700 STICR cells	postnatal collection	forebrain	lineage traced	10x scRNA-seq	author_seurat_object	STICR.seuratobject.RDS	Seurat RDS	https://keeper.mpdl.mpg.de/f/0d1a23ab36fe473481b0/?dl=1	1023351516 bytes	P1	yes	Recover author broad/refined labels and UMAP	This is the postnatal STICR reference and contains no CA298--CA303 embryonic samples; do not use it as a CA301 barcode join.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	Nature Supplementary Data 1--4	published sample and marker tables	multiple	multiple brain regions	multiple	10x scRNA-seq	publisher_supplements	41586_2021_4237_MOESM2-5_ESM.xlsx	XLSX	https://www.nature.com/articles/s41586-021-04237-0	159989 bytes total	P1	yes	Preserve sample design and complete published annotation vocabularies	Marker tables define labels but do not contain per-cell barcodes or embeddings.
Bandler2022	Single-cell delineation of lineage and genetic identity in the mouse brain	GitHub issue 1	MUC28072 TrackerSeq cells	E16.5	ganglionic eminence	lineage traced	10x TrackerSeq	author_lineage_metadata	TrackerSeq.MUC28072.md.RDS	RDS	https://keeper.mpdl.mpg.de/f/9b9d33a7503b4658aad1/?dl=1	179390 bytes	P1	yes	Preserve author-posted cell-to-lineage-barcode metadata	This is TrackerSeq metadata, not CA301 annotation metadata.
