technical_sample_id,submitted_sample_name,target_cells,organism,tissue,region,genotype,sex,design_group,metadata_source,metadata_registered_date
15662-JZ-1,Sample 1.1,20000,Mouse,Embryonic brain,MGE,WT,M,WT_M,user_provided_in_codex_thread,2026-08-27
15662-JZ-2,Sample 1.7,20000,Mouse,Embryonic brain,MGE,WT,M,WT_M,user_provided_in_codex_thread,2026-08-27
15662-JZ-3,Sample 2.1,20000,Mouse,Embryonic brain,MGE,WT,M,WT_M,user_provided_in_codex_thread,2026-08-27
15662-JZ-4,Sample 1.4,20000,Mouse,Embryonic brain,MGE,WT,F,WT_F,user_provided_in_codex_thread,2026-08-27
15662-JZ-5,Sample 1.5,20000,Mouse,Embryonic brain,MGE,WT,F,WT_F,user_provided_in_codex_thread,2026-08-27
15662-JZ-6,Sample 2.5,20000,Mouse,Embryonic brain,MGE,WT,F,WT_F,user_provided_in_codex_thread,2026-08-27
15662-JZ-7,Sample 1.3,20000,Mouse,Embryonic brain,MGE,HET,F,HET_F,user_provided_in_codex_thread,2026-08-27
15662-JZ-8,Sample 1.6,20000,Mouse,Embryonic brain,MGE,HET,F,HET_F,user_provided_in_codex_thread,2026-08-27
15662-JZ-9,Sample 2.4,20000,Mouse,Embryonic brain,MGE,HET,F,HET_F,user_provided_in_codex_thread,2026-08-27
15662-JZ-10,Sample 1.2,20000,Mouse,Embryonic brain,MGE,KO,M,KO_M,user_provided_in_codex_thread,2026-08-27
15662-JZ-11,Sample 1.8,20000,Mouse,Embryonic brain,MGE,KO,M,KO_M,user_provided_in_codex_thread,2026-08-27
15662-JZ-12,Sample 2.2,20000,Mouse,Embryonic brain,MGE,KO,M,KO_M,user_provided_in_codex_thread,2026-08-27
